text,lang
"आज मौसम साफ है।",hi
"भारत की अर्थव्यवस्था बढ़ रही है।",hi
"क्रिकेट मैच रोमांचक था।",hi
"सरकार ने नई नीति की घोषणा की।",hi
"कंपनी ने नया उत्पाद लॉन्च किया।",hi
"छात्र परीक्षा की तैयारी कर रहे हैं।",hi
"चुनाव नतीजे घोषित हुए।",hi
"शेयर बाजार में तेजी आई।",hi
"फुटबॉल टीम ने जीत हासिल की।",hi
"किसान नई तकनीक अपना रहे हैं।",hi
"আজকের আবহাওয়া পরিষ্কার।",bn
"ভারতের অর্থনীতি বৃদ্ধি পাচ্ছে।",bn
"ক্রিকেট ম্যাচটি রোমাঞ্চকর ছিল।",bn
"সরকার নতুন নীতি ঘোষণা করেছে।",bn
"কোম্পানি নতুন পণ্য উন্মোচন করেছে।",bn
"শিক্ষার্থীরা পরীক্ষার প্রস্তুতি নিচ্ছে।",bn
"নির্বাচনের ফল প্রকাশিত হয়েছে।",bn
"শেয়ারবাজারে ঊর্ধ্বগতি দেখা গেছে।",bn
"ফুটবল দলটি জয় লাভ করেছে।",bn
"কৃষকরা নতুন প্রযুক্তি গ্রহণ করছেন।",bn
"இன்று வானிலை தெளிவாக உள்ளது.",ta
"இந்தியாவின் பொருளாதாரம் வளர்ந்து வருகிறது.",ta
"கிரிக்கெட் போட்டி சுவாரஸ்யமாக இருந்தது.",ta
"அரசு புதிய கொள்கையை அறிவித்தது.",ta
"நிறுவனம் புதிய தயாரிப்பை வெளியிட்டது.",ta
"மாணவர்கள் தேர்வுக்கு தயார் செய்கிறார்கள்.",ta
"தேர்தல் முடிவுகள் அறிவிக்கப்பட்டன.",ta
"பங்குச்சந்தையில் அதிகரிப்பு காணப்பட்டது.",ta
"கால்பந்து அணியும் வெற்றி பெற்றது.",ta
"விவசாயிகள் புதிய தொழில்நுட்பத்தை ஏற்கின்றனர்.",ta
"cricket match bahut accha tha",hi
"ajker weather khub bhalo",bn
"indhiya poruladham valarugiradhu",ta
